rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20151228,공조,2017-01-18,1416506700,48.0,-852661400,-37.6,41280052269,189579,-114424,-37.6,5049695,1075,5290,2017-02-01
2,2,0,OLD,20151229,더 킹,2017-01-18,689402400,23.3,-392808000,-36.3,36908584909,92503,-52101,-36,4502943,909,3982,2017-02-01
3,3,0,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25,224355000,7.6,-142030800,-38.8,4836161073,29001,-18200,-38.6,576181,497,1727,2017-02-01
4,4,0,OLD,20165443,모아나,2017-01-12,161084300,5.5,-177537500,-52.4,15297988207,22344,-24702,-52.5,1955388,520,1211,2017-02-01
5,5,0,OLD,20161872,너의 이름은.,2017-01-04,132712800,4.5,-79574500,-37.5,27959343056,17774,-10921,-38.1,3472356,425,998,2017-02-01
6,6,21,OLD,20167324,라이언,2017-02-01,79505500,2.7,77669500,4230.4,121527100,10688,10382,3392.8,16246,173,803,2017-02-01
7,7,-1,OLD,20167904,라라랜드,2016-12-07,66537700,2.3,-24903400,-27.2,26505142128,8823,-3366,-27.6,3167007,218,406,2017-02-01
8,8,-1,OLD,20168154,딥워터 호라이즌,2017-01-25,20698300,0.7,-42037400,-67,714396543,2845,-5675,-66.6,91981,218,392,2017-02-01
9,9,-1,OLD,20167285,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,2017-01-25,15700700,0.5,-38024200,-70.8,754521200,2283,-5451,-70.5,98994,189,234,2017-02-01
10,10,-1,OLD,20163845,터닝메카드W: 블랙미러의 부활,2017-01-18,13028500,0.4,-29444500,-69.3,3013036600,1912,-4108,-68.2,402912,195,251,2017-02-01
1,1,0,OLD,20151228,공조,2017-01-18,1306151800,43.3,-110354900,-7.8,42586204069,174342,-15237,-8,5224037,998,5011,2017-02-02
2,2,0,OLD,20151229,더 킹,2017-01-18,587350500,19.5,-102051900,-14.8,37495935409,78761,-13742,-14.9,4581704,827,3523,2017-02-02
3,3,82,OLD,20179281,컨택트,2017-02-02,407616000,13.5,407604000,3396700,448158800,54584,54582,2729100,59414,509,2223,2017-02-02
4,4,-1,OLD,20168688,레지던트 이블: 파멸의 날,2017-01-25,167024200,5.5,-57330800,-25.6,5003185273,21561,-7440,-25.7,597742,446,1341,2017-02-02
5,5,-1,OLD,20165443,모아나,2017-01-12,136237500,4.5,-24846800,-15.4,15434225707,19177,-3167,-14.2,1974565,491,1009,2017-02-02
6,6,-1,OLD,20161872,너의 이름은.,2017-01-04,99014000,3.3,-33698800,-25.4,28058357056,13249,-4525,-25.5,3485605,363,770,2017-02-02
