rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,CurrentDate
1,1,0,OLD,20168323,염력,2018-01-31,763114000,28.5,-854127600,-52.8,2440655600,101924,-162787,-61.5,375216,1053,5998,2018-02-01
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,486682800,18.2,-235252700,-32.6,18815896452,64564,-58472,-47.5,2351038,668,2666,2018-02-01
3,3,0,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,365393000,13.6,-263440500,-41.9,997440500,47745,-55246,-53.6,151114,632,2109,2018-02-01
4,4,0,OLD,20179985,코코,2018-01-11,257535200,9.6,-154221200,-37.5,21764607916,34536,-35085,-50.4,2770181,602,1656,2018-02-01
5,5,1,OLD,20150976,신과함께-죄와 벌,2017-12-20,145546100,5.4,-64033000,-30.6,112911163937,19625,-15009,-43.3,14071186,471,1005,2018-02-01
6,6,-1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,149036500,5.6,-89288600,-37.5,17283661625,19624,-21080,-51.8,2100593,464,1002,2018-02-01
7,7,0,OLD,20178395,12 솔져스,2018-01-31,115750400,4.3,-43894100,-27.5,306667000,14591,-11121,-43.3,43723,183,824,2018-02-01
8,8,0,OLD,20170590,1987,2017-12-27,88140400,3.3,-45268700,-33.9,57221947745,11916,-10547,-47,7112908,384,668,2018-02-01
9,9,12,OLD,20179228,마야2,2018-02-01,43195300,1.6,39035800,938.5,68220800,6242,5720,1095.8,9052,314,359,2018-02-01
10,10,2,OLD,20179205,조선명탐정: 흡혈괴마의 비밀,2018-02-08,47239000,1.8,29024000,159.3,179145000,5787,2573,80.1,25580,34,34,2018-02-01
1,1,0,OLD,20168323,염력,2018-01-31,862511977,26.8,99397977,13,3303167577,103337,1413,1.4,478553,1051,5717,2018-02-02
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,653956837,20.3,167274037,34.4,19469853289,78474,13910,21.5,2429512,746,2872,2018-02-02
3,3,0,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,431416480,13.4,66023480,18.1,1428856980,51261,3516,7.4,202375,674,2326,2018-02-02
4,4,0,OLD,20179985,코코,2018-01-11,324029500,10.1,66494300,25.8,22088637416,39372,4836,14,2809553,649,1705,2018-02-02
5,5,1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,195694743,6.1,46658243,31.3,17479356368,23569,3945,20.1,2124162,472,1030,2018-02-02
6,6,-1,OLD,20150976,신과함께-죄와 벌,2017-12-20,195021900,6.1,49475800,34,113106185837,23286,3661,18.7,14094472,492,1049,2018-02-02
7,7,0,OLD,20178395,12 솔져스,2018-01-31,148977700,4.6,33227300,28.7,455644700,17024,2433,16.7,60747,181,799,2018-02-02
8,8,0,OLD,20170590,1987,2017-12-27,114417200,3.6,26276800,29.8,57336364945,13966,2050,17.2,7126874,401,685,2018-02-02
9,9,2,OLD,20178469,올 더 머니,2018-02-01,53476200,1.7,12111000,29.3,116283400,6358,808,14.6,14601,260,435,2018-02-02
10,10,-1,OLD,20179228,마야2,2018-02-01,31825700,1.0,-11369600,-26.3,100046500,4557,-1685,-27,13609,296,352,2018-02-02
1,1,0,OLD,20168323,염력,2018-01-31,1716622380,24.7,854110403,99,5019789957,204075,100738,97.5,682628,946,5171,2018-02-03
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,1565442648,22.6,911485811,139.4,21035295937,186723,108249,137.9,2616235,855,3358,2018-02-03
3,3,1,OLD,20179985,코코,2018-01-11,1002101600,14.4,678072100,209.3,23090739016,122757,83385,211.8,2932310,805,2146,2018-02-03
4,4,-1,OLD,20178126,인시디어스4: 라스트 키,2018-01-31,747861384,10.8,316444904,73.4,2176718364,89015,37754,73.7,291390,769,2599,2018-02-03
5,5,1,OLD,20150976,신과함께-죄와 벌,2017-12-20,442316400,6.4,247294500,126.8,113548502237,52378,29092,124.9,14146850,534,1149,2018-02-03
6,6,-1,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,364251536,5.2,168556793,86.1,17843607904,43638,20069,85.1,2167800,508,978,2018-02-03
7,7,0,OLD,20178395,12 솔져스,2018-01-31,313153200,4.5,164175500,110.2,768797900,35409,18385,108,96156,198,777,2018-02-03
8,8,0,OLD,20170590,1987,2017-12-27,209234700,3.0,94817500,82.9,57545599645,24901,10935,78.3,7151775,387,636,2018-02-03
9,9,1,OLD,20179228,마야2,2018-02-01,156370400,2.3,124544700,391.3,256416900,20589,16032,351.8,34198,407,599,2018-02-03
10,10,-1,OLD,20178469,올 더 머니,2018-02-01,91658400,1.3,38182200,71.4,207941800,10742,4384,69,25343,255,404,2018-02-03
1,1,1,OLD,20176104,그것만이 내 세상,2018-01-17,1477505600,23.9,-87937048,-5.6,22512801537,175811,-10912,-5.8,2792046,863,3371,2018-02-04
2,2,-1,OLD,20168323,염력,2018-01-31,1373258900,22.2,-343363480,-20,6393048857,164349,-39726,-19.5,846977,916,4735,2018-02-04
3,3,0,OLD,20179985,코코,2018-01-11,942566100,15.3,-59535500,-5.9,24033305116,115294,-7463,-6.1,3047604,805,2177,2018-02-04
